A,B,C,D,E,F,G,H,I,J,K,L,FORECAST
0.00619296,0.999980823,0.07424761,0.997239837,-2.39E-12,1,2789200,2,5110000,60368.10849,6830.664682,6001.226828,73200
0.023393643,0.999726331,0.277075711,0.960848089,-1.26E-11,1,2676700,1.9,5110000,95237.30078,8637.150935,8625.548282,112500
0.040587402,0.999175992,0.46813818,0.883655274,-8.34E-12,1,2504600,0.8,5110000,145585.5885,13118.71422,13395.69732,172100
0.057769151,0.998329968,0.639321819,0.768939277,-4.05E-12,1,2401600,0.7,5110000,89166.80345,7036.073449,6797.123097,103000
0.074933804,0.99718851,0.783357552,0.621571352,2.52E-13,1,2038000,0.6,5110000,297611.5902,35363.57365,30624.83615,363600
0.092076282,0.995751956,0.894129105,0.447809271,-1.00E-11,1,1668600,0.5,5110000,303657.82,38049.70272,27692.47731,369400
0.109191512,0.994020731,0.96693272,0.255031597,-5.70E-12,1,1537600,0.4,5110000,107302.9698,12864.94641,10832.08377,131000
0.126274429,0.991995347,0.998676892,0.051424363,-1.40E-12,1,3482900,0.3,3720000,248729.8022,28143.83153,24726.36627,301600
0.143319978,0.989676404,0.98801365,-0.154366534,-1.17E-11,1,3396100,0.2,3720000,73480.86852,6664.041788,6655.089697,86800
0.160323115,0.987064587,0.935395794,-0.353602472,-7.36E-12,1,3360300,0.1,3720000,30284.5094,2728.936485,2786.55412,35800
0.177278807,0.98416067,0.843057667,-0.537823177,-3.06E-12,1,3283000,0,3720000,66918.38745,5280.470656,5101.141897,77300
0.194182038,0.980965512,0.714920278,-0.699205975,1.24E-12,1,2575100,0,3720000,579425.8655,68850.03791,59624.09656,707900
0.211027805,0.977480059,0.556424802,-0.830897972,-9.02E-12,1,2094000,1,3720000,395478.5522,49555.25712,36066.19067,481100
0.227811122,0.973705342,0.374301527,-0.927307051,-4.72E-12,1,1877900,0,3720000,177008.9449,21222.25129,17868.80383,216100
0.244527024,0.969642478,0.176284062,-0.984339337,-4.18E-13,1,1681500,0,3720000,161971.2638,18327.08393,16101.65231,196400
0.261170564,0.965292669,-0.029219058,-0.999573032,-1.07E-11,1,1618600,1,3720000,53248.23306,4829.127056,4822.639884,62900
0.277736815,0.960657203,-0.233481432,-0.97236126,-6.37E-12,1,1487800,0,3720000,110648.431,9970.527717,10181.04131,130800
0.294220877,0.955737451,-0.427829345,-0.903859531,-2.07E-12,1,1390500,0,3720000,84232.32986,6646.698511,6420.971625,97300
0.31061787,0.95053487,-0.604010084,-0.796976674,-1.23E-11,1,909100,0,3720000,394032.5069,46820.74905,40546.74401,481400
0.326922943,0.945050998,-0.754542381,-0.65625132,-8.03E-12,1,41300,0,3720000,713357.4883,89386.93022,65055.58152,867800
0.34313127,0.93928746,-0.873034095,-0.487659174,-3.73E-12,1,780300,0,1100000,295697.497,35452.2569,29850.2461,361000
0.359238055,0.933245959,-0.954453639,-0.298359264,5.68E-13,1,645800,0.1,1100000,110922.2758,12550.87978,11026.84438,134500
0.375238531,0.926928285,-0.995343648,-0.096389947,-9.69E-12,1,3792300,0.2,3920000,109628.7151,9942.320409,9928.964467,129500
0.391127963,0.920336306,-0.993967785,0.109672434,-5.39E-12,1,3549100,0.3,3920000,205731.6392,18538.47355,18929.8872,243200
0.406901649,0.913471974,-0.950384473,0.311077729,-1.09E-12,1,3464300,0.4,3920000,73411.11585,5792.806102,5596.078045,84800
0.422554922,0.90633732,-0.866444417,0.499273545,-1.13E-11,1,2972600,0.5,3920000,402463.1983,47822.52245,41414.27925,491700
0.438083149,0.898934455,-0.745712014,0.666268409,-7.04E-12,1,2407200,0.6,3920000,464775.667,58238.50005,42385.8329,565400
0.453481735,0.89126557,-0.593313995,0.80497112,-2.74E-12,1,2251900,0.7,3920000,127207.2612,15251.34487,12841.39396,155300
0.468746123,0.883332934,-0.41572173,0.90949186,-1.30E-11,1,2186400,0.8,3920000,54017.91129,6112.138479,5369.950235,65500
0.483871795,0.875138895,-0.220476424,0.975392304,-8.70E-12,1,2027200,0.9,3920000,134771.3625,12222.52826,12206.10921,159200
0.498854276,0.866685878,-0.015868896,0.999874081,-4.40E-12,1,1702200,1,3920000,274929.2054,24773.86474,25296.92986,325000
0.513689132,0.857976384,0.189412483,0.981897607,-1.02E-13,1,1595400,1,3920000,92456.45251,7295.656741,7047.890746,106800
0.528371973,0.84901299,0.386650726,0.922226228,-1.04E-11,1,1164800,0.9,3920000,352452.0097,41879.96373,36268.02653,430600
0.542898454,0.83979835,0.567470388,0.823393806,-6.06E-12,1,94200,0.8,3920000,880065.1382,110276.1552,80258.70658,1070600
0.557264276,0.83033519,0.724193215,0.689597119,-1.76E-12,1,1607900,0.7,1650000,111644.235,13385.43661,11270.32838,136300
0.571465187,0.820626309,0.850164193,0.526517658,-1.20E-11,1,1061300,0.6,1650000,450781.5314,51006.0289,44812.43967,546600
0.585496986,0.810674583,0.940034141,0.341080363,-7.71E-12,1,944500,0.5,1650000,98877.48206,8967.282037,8955.235905,116800
0.59935552,0.800482955,0.989986857,0.141159568,-3.41E-12,1,3800000,0.4,4070000,233816.715,21069.21912,21514.06588,276400
0.613036687,0.790054441,0.997901169,-0.064755369,8.84E-13,1,3670500,0.3,4070000,112107.7772,8846.325356,8545.897486,129500
